ra,dec,x,y,z,mag
173.486516,13.551892,-0.422905,-0.355428,0.833560,7.516670
174.611130,-59.532025,-0.246932,0.956135,-0.157576,7.516718
161.306105,3.729950,0.388492,0.735564,-0.554995,7.516735
344.624966,9.825552,-0.535421,0.749081,-0.390131,7.516826
356.907037,85.078408,-0.319265,0.913369,-0.252638,7.516911
97.012022,5.922546,-0.869842,0.344756,-0.352873,7.517092
106.408211,-1.205142,0.328503,-0.141194,-0.933890,7.517115
236.717782,-47.647923,0.394013,0.770959,0.500376,7.517347
114.610583,-47.711147,-0.047881,-0.831085,0.554080,7.517367
291.550062,40.625061,0.796131,-0.566030,0.213977,7.517381
107.392546,-24.307785,0.568210,0.370972,0.734518,7.517730
348.447518,74.553646,-0.640119,0.176653,-0.747691,7.517809
138.359508,25.439884,0.945228,0.123030,0.302337,7.518022
280.824646,-3.187644,0.340560,0.939095,0.046035,7.518079
193.919974,-3.550594,-0.599477,0.694598,0.397694,7.518720
279.204047,18.946612,-0.917616,0.385476,0.096903,7.518931
301.428223,3.672552,-0.850656,0.141359,-0.506361,7.518992
265.895952,34.774741,0.408293,-0.887045,-0.215518,7.519113
31.320860,29.104007,-0.672068,0.064084,-0.737711,7.519168
294.208458,19.463663,0.369807,-0.728837,0.576229,7.519204
50.828867,16.565586,-0.553127,-0.349396,-0.756289,7.519228
98.674296,38.540079,-0.188018,-0.639683,0.745288,7.519404
185.675438,20.148818,-0.254470,-0.084744,0.963361,7.519479
0.280229,-41.887754,-0.480619,-0.138323,0.865951,7.519628
44.089960,41.432023,-0.825400,-0.089210,-0.557456,7.519811
67.817700,7.452576,0.105517,-0.376195,0.920513,7.519825
28.409592,-10.415882,0.542764,0.073864,0.836631,7.519837
109.223246,-3.711351,0.626056,-0.563090,0.539428,7.519869
126.064849,44.948944,0.522967,0.221812,0.822986,7.520027
329.831926,60.297655,0.820626,-0.028982,-0.570730,7.520036
99.793760,0.403124,0.681004,-0.618336,0.392294,7.520041
310.367388,-34.102101,0.714790,-0.543707,-0.439838,7.520178
340.751312,19.953481,0.050077,0.447300,0.892981,7.520289
316.374201,21.873424,0.596354,-0.794082,0.117453,7.521262
177.362743,18.235433,0.111814,0.809595,-0.576242,7.521411
232.501057,-52.847485,-0.847245,-0.019660,-0.530839,7.521633
121.475471,-16.400602,0.385152,-0.666248,0.638570,7.521707
48.305150,-49.329311,-0.225150,-0.548460,0.805294,7.521830
112.625772,-21.564205,-0.810891,0.413502,-0.414091,7.521842
179.688256,37.877328,-0.802429,-0.569808,0.177275,7.522015
170.810094,-62.295729,0.340083,0.789569,0.510807,7.522027
345.632053,-49.697638,0.841700,0.047912,0.537816,7.522308
217.133967,10.325888,0.580053,0.221036,-0.784016,7.522370
298.067234,30.912293,-0.812029,0.328171,-0.482611,7.522446
36.931903,-45.047830,0.348435,-0.335985,-0.875047,7.522802
88.477532,-12.394291,0.858438,0.483491,0.171231,7.522806
149.283266,-46.677982,-0.051952,0.900723,-0.431277,7.522902
243.797220,-49.874506,0.294152,-0.876495,0.381092,7.523051
346.662879,-43.503830,0.412369,0.786108,0.460419,7.523391
110.245848,24.999433,-0.949712,-0.283515,-0.132913,7.523660
222.513835,-0.005648,-0.858084,0.513479,-0.005648,7.523667
148.702172,-43.546726,-0.453221,-0.785218,0.421928,7.523713
259.548895,-48.053599,0.214876,-0.558133,0.801446,7.523913
246.785435,-75.907476,-0.148069,0.860463,-0.487524,7.524195
313.026792,28.854162,-0.355052,0.757473,-0.547880,7.524202
297.428724,2.953944,0.512019,-0.838473,0.186549,7.524429
300.754773,-9.043584,-0.620850,0.690028,-0.372029,7.524545
174.353943,-53.738685,0.004207,0.945510,0.325565,7.524637
86.162175,23.020812,0.118246,0.501351,-0.857126,7.524835
109.072142,-8.865321,0.537657,-0.655175,-0.530726,7.525307
178.178828,-19.190804,-0.591688,0.733421,-0.334664,7.525613
37.558233,33.498547,-0.484916,0.068770,0.871853,7.525849
359.931809,60.302134,0.178197,-0.798942,-0.574402,7.525933
165.422052,38.008408,-0.446980,0.841164,0.304388,7.526248
160.538636,-33.709789,0.628634,0.206517,-0.749780,7.526441
72.373820,53.875872,0.885994,0.104306,-0.451813,7.526527
128.047207,-56.633812,-0.723519,0.685047,-0.085041,7.526546
46.056194,-65.163110,0.332320,-0.603851,-0.724519,7.526592
313.908920,-30.895913,0.840760,-0.214990,0.496892,7.527023
139.480865,-3.387525,-0.305109,-0.920671,0.243461,7.527120
44.739481,-53.689433,-0.697994,-0.659678,0.278621,7.527157
328.744830,-4.220163,0.204878,-0.425870,0.881283,7.527511
317.686607,-39.975299,0.600690,0.243937,-0.761358,7.527906
313.382901,34.746143,-0.700811,0.688262,-0.187508,7.527948
316.453920,35.332452,0.473179,-0.535320,-0.699668,7.528091
356.735672,46.218028,-0.101288,0.608637,0.786957,7.528169
226.814360,22.564200,-0.684014,-0.488002,-0.542198,7.528471
106.817019,-2.965363,-0.984508,-0.002824,-0.175319,7.528526
284.275663,-71.298140,-0.022107,-0.574330,-0.818325,7.528827
48.796764,29.050468,-0.072719,0.709912,-0.700526,7.529218
357.967922,37.890911,0.966901,-0.169601,0.190625,7.529478
169.440745,25.051310,0.975764,-0.203144,-0.081342,7.529643
303.926399,31.241899,-0.680446,0.712048,-0.173150,7.529661
176.615703,-24.976372,0.764023,0.626112,0.155732,7.529692
240.655771,8.846857,0.266606,-0.794037,0.546284,7.529814
340.769169,-37.670567,0.093459,0.995214,0.028541,7.529856
282.662161,-0.360651,0.932586,-0.075872,-0.352883,7.530439
63.270428,40.359557,-0.802567,-0.376437,0.462797,7.530440
163.377456,-58.837652,-0.657951,-0.009632,-0.752999,7.530662
274.290381,-22.169929,0.554811,0.812749,0.177830,7.530718
73.994109,-14.873774,-0.111455,0.662468,-0.740752,7.531145
38.531369,-5.635283,0.536784,0.589604,0.603515,7.531204
51.347624,15.826226,-0.466160,-0.876798,-0.117987,7.531373
199.528517,-63.687129,0.024518,-0.655552,-0.754752,7.531629
89.949278,43.985932,-0.402169,0.915558,0.003635,7.531668
180.138384,-56.375985,-0.475053,-0.863018,0.171826,7.531947
278.522847,-15.767286,0.471468,-0.879888,0.059288,7.531967
319.029008,34.632541,-0.156264,0.984867,-0.074952,7.532145
345.824192,31.689480,0.933123,0.237272,0.270154,7.532367
261.467075,-49.253241,-0.400210,-0.347405,0.848022,7.532385
209.150569,-10.034082,0.190669,-0.797572,0.572297,7.532417
272.214864,-38.831201,-0.191273,0.379268,-0.905301,7.532424
232.917478,69.159295,0.904027,0.425180,0.044242,7.532432
205.305718,56.727476,-0.444438,-0.877976,0.177857,7.532622
356.308073,82.806762,-0.111886,-0.416077,0.902420,7.532863
352.112488,-2.653766,-0.854987,-0.222061,-0.468707,7.532906
141.960856,-9.796686,0.774555,0.517696,0.363393,7.533061
30.235414,29.547849,-0.111442,0.270894,-0.956136,7.533150
109.829595,-0.333907,-0.937262,0.118865,-0.327737,7.533274
127.181780,4.324042,-0.019955,-0.378133,-0.925536,7.533455
262.493115,-17.814923,0.086490,-0.503466,0.859675,7.533511
247.253227,64.787214,0.223501,-0.301313,0.926962,7.533762
279.860664,-12.247823,-0.918036,-0.243154,0.313188,7.533977
294.917662,-6.708819,0.841675,-0.347991,-0.412898,7.534051
342.073988,-5.767435,-0.814277,0.306135,0.493188,7.534168
40.590533,41.292142,0.871810,-0.222768,-0.436259,7.534760
31.932649,-57.194877,0.694139,0.394422,-0.602165,7.535001
328.289632,63.258765,0.006190,0.910228,0.414062,7.535084
287.412862,69.093065,-0.042843,-0.998840,-0.021972,7.535088
94.843796,-75.700214,0.790128,0.535947,-0.297421,7.535665
